Lib	salinity	Depth	Temperature	O2	PO4	SiO2	NO2	NO3	NH4	Tbact	Synechococcus	Chla_Picoeuk.	Latitude	Longitude	Season	Salinity_cat	Depth_cat	Oxy_cat
S3	7.739	10	15.4924	6.99	0.15	12	0.01	0.08	NA	1740000	263157796.5	2.69	54.9	13.5	Summer	Mesohaline	Surface	intermediate
S31	7.3756	10	14.7349	6.88	0.3	15.3	0.01	0	0.21	3320000	533874883.3	5.04	55.6	18.4	Summer	Mesohaline	Surface	intermediate
S32	7.3935	40	4.5664	7.84	0.47	15.7	0.01	0.05	0.44	403000	8997198.88	NA	55.6	18.4	Summer	Mesohaline	Hypolimneon	intermediate
S36	7.4015	40	4.4206	8.02	0.55	14.6	0.02	0.02	NA	438000	7446311.858	NA	55.9	18.9	Summer	Mesohaline	Hypolimneon	normal
S37	8.6373	75	4.8674	7.76	0.73	15.3	0.25	1.24	NA	639000	2177404.295	NA	55.9	18.9	Summer	Marine	Hypolimneon	intermediate
S38	11.4799	110	6.134	3.4	1.66	37.6	0.05	6.42	NA	827000	4313725.49	NA	55.9	18.9	Summer	Marine	Hypolimneon	low
S39	7.2547	10	14.7806	7	0.1	9.8	0.01	0.01	NA	4470000	220318394	NA	56.9	19.7	Summer	Mesohaline	Surface	intermediate
S4	11.1378	30	13.0663	6.3	NA	NA	NA	NA	NA	994000	51692810.46	NA	54.9	13.5	Summer	Marine	Hypolimneon	intermediate
S40	8.8211	70	4.8714	7.3	0.78	15.4	0.39	1.02	NA	407000	1335200.747	NA	56.9	19.7	Summer	Marine	Hypolimneon	intermediate
S45	7.117	20	6.1901	7.44	0.28	8.5	0.01	0	0.07	1410000	37118580.77	NA	57.3	20.1	Summer	Mesohaline	Hypolimneon	intermediate
S50	7.4087	48	4.3236	7.94	0.53	13	0.03	0.09	0.5	1478991.597	328664.7993	NA	57.3	20.1	Summer	Mesohaline	Hypolimneon	intermediate
S51	8.0538	70	4.4018	5.49	1.36	22.7	0.27	3.51	0.87	482726.4239	236227.8245	NA	57.3	20.1	Summer	Marine	Hypolimneon	intermediate
S58	6.245	10	14.5015	6.86	0.06	8.3	0.01	0.01	NA	3870000	186815126.1	NA	57.8	20.1	Summer	Mesohaline	Surface	intermediate
S59	8.5494	70	4.6758	5	NA	NA	NA	NA	NA	493000	0	NA	57.8	20.1	Summer	Marine	Hypolimneon	intermediate
S66	5.0359	10	13.0312	7.32264	NA	NA	NA	NA	NA	2300000	93207282.91	NA	60.2	19.1	Summer	Mesohaline	Surface	intermediate
S67	4.9346	2	13.4807	7.33989	NA	NA	NA	NA	NA	4340000	276150326.8	2.84	60.2	19.1	Summer	Mesohaline	Surface	intermediate
S68	5.823	20	5.254	8.27257	NA	NA	NA	NA	NA	1650000	50244631.19	1.26	60.2	19.1	Summer	Mesohaline	Hypolimneon	normal
S69	6.6221	80	3.2698	8.24908	NA	NA	NA	NA	NA	761000	2516339.869	NA	60.2	19.1	Summer	Mesohaline	Hypolimneon	normal
S7	8.4959	50	4.9919	6.9	NA	NA	NA	NA	NA	418000	3574229.692	NA	54.9	15.4	Summer	Marine	Hypolimneon	intermediate
S70	6.9525	250	4.1997	7.32804	NA	NA	NA	NA	NA	908000	5720821.662	NA	60.2	19.1	Summer	Mesohaline	Hypolimneon	intermediate
S71	5.31	2	12.2	7.8	0.01	8.9	0.02	0.02	NA	3380000	231061624.6	NA	62.2	19.7	Summer	Mesohaline	Surface	intermediate
S72	5.3	10	11.3	7.8	0.01	9	0.01	0	NA	3180000	384024276.4	NA	62.2	19.7	Summer	Mesohaline	Surface	intermediate
S73	5.9	80	2.82	6.96	0.53	27.9	0.18	5.11	NA	1180000	7199813.259	NA	62.2	19.7	Summer	Mesohaline	Hypolimneon	intermediate
S75	5.3133	2	12.2091	7.3	0.01	13.6	0.01	0.01	NA	3830000	36902894.49	NA	63.1	20.5	Summer	Mesohaline	Surface	intermediate
S79	2.5741	2	12.2	7.89	0	42.3	0.19	1.75	0.15	2620000	36902894.49	16.13	65.4	23.5	Summer	Oligohaline	Surface	intermediate
S8	14.7458	70	6.6723	1.97	NA	NA	NA	NA	NA	681000	8586367.88	NA	54.9	15.4	Summer	Marine	Hypolimneon	low
S80	2.6612	7.5	12.7	5.42755	NA	NA	NA	NA	NA	2670000	35403361.34	NA	65.4	23.5	Summer	Oligohaline	Surface	intermediate
S83	2.8484	2	12.2507	7.9	0	34.9	0.18	2.68	NA	2640000	61316526.61	NA	64.7	22.1	Summer	Oligohaline	Surface	intermediate
S84	2.8072	10	9.0592	8.27426	NA	NA	NA	NA	NA	3240000	71751633.99	NA	64.7	22.1	Summer	Oligohaline	Surface	normal
S87	3.2459	2	12.6228	7.87008	NA	NA	NA	NA	NA	4310000	86983193.28	NA	63.6	21.1	Summer	Oligohaline	Surface	intermediate
S88	3.4693	10	11.5917	7.79823	NA	NA	NA	NA	NA	3780000	82371615.31	NA	63.6	21.1	Summer	Oligohaline	Surface	intermediate
S9	7.5385	10	15.0006	7.13	0.31	15.5	0.01	0.08	0.54	203957049.5	19052287.58	4.91	55.3	16	Summer	Mesohaline	Surface	intermediate
S90	4.7339	30	5.0723	7.38452	NA	NA	NA	NA	NA	2790000	23232493	NA	63.6	21.1	Summer	Mesohaline	Hypolimneon	intermediate
S91	4.947	2	13.2554	7.53	0.01	9.3	0.01	0	NA	6470000	651413632.1	NA	62.64	19.3	Summer	Mesohaline	Surface	intermediate
